Sr No,Service Level,GEO,Rail/Road,Level,Ports,Cut-Offs,Ship Dates,Year Offered,Offered Month,Joined Qtr
1,1,India,Rail,B,9010,Cut-Off-1,04-Jan-23,2023,Jan,Q2
2,1,India,Rail,C,9010,Cut-Off-1,19-Jan-23,2023,Jan,Q2
3,1,India,Rail,A,9010,Cut-Off-1,06-Feb-23,2023,Feb,Q2
4,1,India,Rail,A,9010,Cut-Off-2,01-Feb-23,2023,Feb,Q2
5,1,India,Rail,A,9010,Cut-Off-2,08-Feb-23,2023,Feb,Q2
6,1,India,Rail,A,9010,Cut-Off-2,10-Feb-23,2023,Feb,Q2
7,1,India,Rail,B,9010,Cut-Off-2,10-Feb-23,2023,Feb,Q2
8,1,India,Rail,A,9010,Cut-Off-2,10-Feb-23,2023,Feb,Q2
9,1,India,Rail,A,9010,Cut-Off-2,21-Feb-23,2023,Feb,Q2
10,1,India,Rail,B,9010,Cut-Off-2,22-Feb-23,2023,Feb,Q2
11,1,India,Rail,A,9010,Cut-Off-2,22-Feb-23,2023,Feb,Q2
12,1,India,Rail,A,9010,Cut-Off-2,23-Feb-23,2023,Feb,Q2
13,4,India,Rail,A,9010,Cut-Off-2,02-Mar-23,2023,Feb,Q2
14,4,India,Road,B,9010,Cut-Off-2,08-Mar-23,2023,Feb,Q2
15,4,India,Road,A,9010,Cut-Off-2,13-Mar-23,2023,Feb,Q2
16,6,India,Road,A,9010,Cut-Off-2,03-Mar-23,2023,Feb,Q2
17,4,India,Road,A,9010,Cut-Off-2,14-Mar-23,2023,Mar,Q2
18,4,India,Road,A,9010,Cut-Off-2,21-Mar-23,2023,Mar,Q2
19,4,India,Road,A,9010,Cut-Off-2,24-Mar-23,2023,Mar,Q2
20,4,India,Road,B,9010,Cut-Off-2,31-Mar-23,2023,Mar,Q3
21,4,India,Road,B,3401,Cut-Off-2,31-Mar-23,2023,Mar,Q2
22,4,Philippines,Road,A,9010,Cut-Off-2,29-Mar-23,2023,Jul,Q2
23,4,India,Rail,A,9010,Cut-Off-2,04-Apr-23,2023,Mar,Q2
24,4,India,Rail,A,9010,Cut-Off-2,03-Apr-23,2023,Mar,Q2
25,6,India,Rail,A,3401,Cut-Off-2,14-Apr-23,2023,Mar,Q2
26,4,Philippines,Road,A,9010,Cut-Off-2,04-Apr-23,2023,Mar,Q2
27,4,India,Road,A,9010,Cut-Off-2,10-Apr-23,2023,Mar,Q2
28,4,India,Road,A,9010,Cut-Off-2,12-Apr-23,2023,Mar,Q2
29,4,India,Road,A,9010,Cut-Off-2,11-Apr-23,2023,Mar,Q2
30,4,India,Road,A,3801,Cut-Off-2,06-Apr-23,2023,Mar,Q2
31,2,India,Road,A,3801,Cut-Off-2,17-Apr-23,2023,Mar,Q3
32,2,India,Road,B,3801,Cut-Off-2,20-Apr-23,2023,Mar,Q2
33,2,India,Road,A,3801,Cut-Off-2,20-Apr-23,2023,Mar,Q3
34,2,India,Road,A,3801,Cut-Off-2,20-Apr-23,2023,Apr,Q2
35,2,India,Road,A,3801,Cut-Off-2,27-Apr-23,2023,Apr,Q2
36,2,India,Rail,A,3801,Cut-Off-2,28-Apr-23,2023,Apr,Q3
37,2,India,Rail,C,3801,Cut-Off-2,19-May-23,2023,Apr,Q3
38,6,India,Rail,A,3801,Cut-Off-2,29-May-23,2023,Apr,Q3
39,6,US,Road,B,3801,Cut-Off-2,05-Jun-23,2023,Apr,Q3
40,6,US,Road,A,3801,Cut-Off-2,13-Jun-23,2023,Mar,Q3
41,6,US,Road,A,3801,Cut-Off-2,02-Jun-23,2023,Apr,Q2
42,6,India,Rail,A,3801,Cut-Off-2,15-Jun-23,2023,Apr,Q2
43,4,India,Rail,A,3801,Cut-Off-2,23-Jun-23,2023,Apr,Q3
44,4,India,Rail,A,3801,Cut-Off-2,05-Jul-23,2023,Apr,Q3
45,4,South Africa,Road,B,3801,Cut-Off-2,05-Jul-23,2023,Mar,Q3
46,4,India,Rail,A,3801,Cut-Off-2,07-Jul-23,2023,Apr,Q3
47,4,Philippines,Road,A,3801,Cut-Off-2,07-Jul-23,2023,Apr,Q3
48,4,India,Rail,C,3801,Cut-Off-2,13-Jul-23,2023,Apr,Q4
49,4,India,Rail,A,3801,Cut-Off-2,14-Jul-23,2023,Apr,Q3
50,6,US,Road,B,3801,Cut-Off-2,18-Jul-23,2023,Apr,Q3
51,6,US,Road,C,9010,Cut-Off-2,18-Jul-23,2023,Apr,Q3
52,4,India,Rail,C,9010,Cut-Off-2,20-Jul-23,2023,Apr,Q3
53,4,India,Rail,B,9010,Cut-Off-2,19-Jul-23,2023,Apr,Q3
54,4,India,Rail,A,3801,Cut-Off-2,17-Jul-23,2023,Apr,Q3
55,4,Philippines,Road,B,3401,Cut-Off-2,17-Jul-23,2023,Apr,Q3
56,4,India,Rail,A,9010,Cut-Off-2,27-Jul-23,2023,Apr,Q3
57,4,India,Rail,A,3801,Cut-Off-2,01-Aug-23,2023,Apr,Q4
58,6,India,Rail,A,9010,Cut-Off-2,31-Jul-23,2023,Apr,Q3
59,6,Philippines,Road,A,9010,Cut-Off-2,02-Aug-23,2023,Apr,Q3
60,6,India,Rail,A,9010,Cut-Off-2,01-Aug-23,2023,May,Q4
61,4,India,Rail,C,3801,Cut-Off-2,07-Aug-23,2023,May,Q4
62,4,India,Rail,B,9010,Cut-Off-2,02-Aug-23,2023,Jun,Q3
63,4,India,Rail,C,3801,Cut-Off-2,05-Sept-23,2023,Jun,Q4
64,6,US,Road,A,9010,Cut-Off-2,07-Sept-23,2023,May,Q4
65,4,UK,Road,A,3401,Cut-Off-2,07-Sept-23,2023,Jun,Q3
66,4,India,Rail,B,3401,Cut-Off-2,11-Sept-23,2023,Jun,Q4
67,6,India,Rail,B,3401,Cut-Off-2,12-Sept-23,2023,Jun,Q4
68,6,India,Rail,B,3401,Cut-Off-2,13-Sept-23,2023,Jun,Q4
69,4,India,Rail,B,3401,Cut-Off-2,14-Sept-23,2023,Jun,Q3
70,4,India,Rail,A,3401,Cut-Off-2,12-Sept-23,2023,Jun,Q4
71,4,India,Rail,A,3401,Cut-Off-2,20-Sept-23,2023,Jun,Q3
72,4,India,Rail,B,3401,Cut-Off-2,20-Sept-23,2023,Jun,Q4
73,4,India,Rail,C,3401,Cut-Off-2,19-Sept-23,2023,Jul,Q1
74,4,India,Rail,A,3401,Cut-Off-2,09-Oct-23,2023,Jul,Q4
75,4,India,Rail,A,3401,Cut-Off-2,11-Oct-23,2023,Jul,Q4
76,4,India,Rail,B,3401,Cut-Off-2,12-Oct-23,2023,Jul,Q4
77,4,India,Rail,A,3401,Cut-Off-2,12-Oct-23,2023,Jul,Q4
78,4,India,Rail,A,3401,Cut-Off-2,13-Oct-23,2023,Jul,Q4
79,4,Philippines,Road,A,3401,Cut-Off-2,16-Oct-23,2023,Jul,Q4
80,4,India,Rail,A,3401,Cut-Off-2,18-Oct-23,2023,Jul,Q1
81,4,India,Rail,B,9010,Cut-Off-2,04-Oct-23,2023,Jul,Q4
82,4,India,Rail,B,9010,Cut-Off-2,18-Oct-23,2023,Jul,Q4
83,4,India,Rail,A,9010,Cut-Off-2,19-Oct-23,2023,Jul,Q4
84,4,India,Rail,A,3401,Cut-Off-2,19-Oct-23,2023,Jul,Q4
85,4,India,Rail,B,9010,Cut-Off-2,24-Nov-23,2023,Jul,Q4
86,6,US,Road,A,9010,Cut-Off-2,29-Nov-23,2023,Jul,Q4
87,4,India,Rail,A,9010,Cut-Off-2,03-Oct-23,2023,Jul,Q4
88,4,India,Rail,B,9010,Cut-Off-2,01-Dec-23,2023,Jul,Q1
89,4,India,Rail,B,9010,Cut-Off-2,05-Dec-23,2023,Jul,Q1
90,6,Philippines,Road,A,9010,Cut-Off-2,01-Dec-23,2023,Jul,Q1
91,4,India,Rail,A,9010,Cut-Off-2,06-Dec-23,2023,Jul,Q1
92,4,US,Road,A,9010,Cut-Off-2,07-Dec-23,2023,Jul,Q1
93,4,India,Rail,C,3401,Cut-Off-2,07-Dec-23,2023,Jul,Q1
94,4,Romania,Road,A,9010,Cut-Off-2,13-Dec-23,2023,Jul,Q1
95,6,US,Road,A,9010,Cut-Off-2,13-Dec-23,2023,Jul,Q1
96,6,US,Road,A,9010,Cut-Off-2,18-Dec-23,2023,Jul,Q1
97,4,India,Rail,B,9010,Cut-Off-2,18-Dec-23,2023,Aug,Q1
98,4,India,Rail,A,3401,Cut-Off-2,11-Dec-23,2023,Jul,Q1
99,6,India,Rail,A,9010,Cut-Off-2,23-Jan-24,2023,Aug,Q1
100,4,India,Rail,A,9010,Cut-Off-2,25-Jan-24,2023,Aug,Q1
101,4,India,Rail,A,9010,Cut-Off-2,07-Feb-24,2023,Aug,Q1
102,4,India,Rail,A,9010,Cut-Off-2,09-Feb-24,2023,Aug,Q1
103,4,India,Rail,A,9010,Cut-Off-2,15-Feb-24,2023,Aug,Q1
104,4,India,Rail,A,9010,Cut-Off-2,21-Feb-24,2023,Aug,Q1
105,6,US,Road,A,3401,Cut-Off-2,27-Feb-24,2023,Sept,Q1
106,4,India,Rail,B,9010,Cut-Off-2,05-Mar-24,2023,Sept,Q1
107,4,Philippines,Road,B,9010,Cut-Off-2,19-Jan-24,2023,Sept,Q2
108,4,Philippines,Road,B,9010,Cut-Off-2,23-Jan-24,2023,Sept,Q2
109,4,India,Rail,A,9010,Cut-Off-2,31-Jan-24,2023,Sept,Q2
110,6,India,Rail,A,9010,Cut-Off-2,05-Feb-24,2023,Sept,Q2
111,4,Philippines,Road,C,3801,Cut-Off-2,06-Feb-24,2023,Sept,Q2
112,4,India,Rail,A,9010,Cut-Off-2,06-Feb-24,2023,Sept,Q2
113,6,US,Road,A,9010,Cut-Off-2,09-Feb-24,2023,Sept,Q2
114,4,India,Rail,A,3801,Cut-Off-2,14-Feb-24,2023,Sept,Q2
115,4,India,Rail,A,9010,Cut-Off-2,19-Feb-24,2023,Sept,Q2
116,4,India,Rail,C,9010,Cut-Off-2,19-Feb-24,2023,Sept,Q2
117,6,Philippines,Road,C,9010,Cut-Off-2,22-Feb-24,2023,Sept,Q2
118,4,India,Rail,C,9010,Cut-Off-2,22-Feb-24,2023,Sept,Q2
119,4,India,Rail,A,9010,Cut-Off-2,21-Feb-24,2023,Sept,Q2
120,4,India,Rail,A,9010,Cut-Off-2,28-Feb-23,2023,Sept,Q2
121,4,India,Rail,A,3401,Cut-Off-2,29-Feb-24,2023,Sept,Q2
122,6,India,Rail,B,9010,Cut-Off-2,29-Feb-24,2023,Sept,Q2
123,4,India,Rail,A,9010,Cut-Off-2,29-Feb-24,2023,Oct,Q2
124,4,India,Rail,C,3401,Cut-Off-2,05-Mar-24,2023,Oct,Q2
125,6,US,Road,A,9010,Cut-Off-2,05-Mar-24,2023,Oct,Q2
126,4,India,Rail,A,9010,Cut-Off-2,10-Mar-24,2023,Oct,Q2
127,3,India,Rail,B,9010,Cut-Off-2,11-Mar-24,2023,Oct,Q2
128,3,India,Rail,A,9010,Cut-Off-2,12-Mar-24,2023,Oct,Q2
129,3,India,Rail,A,9010,Cut-Off-2,13-Mar-24,2023,Oct,Q2
130,3,India,Rail,A,9010,Cut-Off-2,15-Mar-24,2023,Oct,Q2
